,content
0,'@FlowerSF01 buat pinjol ya wkwkwkw'
1,'@tegisads Gaya hidupe sing nggawe terjerat pinjol'
2,'kalo uda disaranin pinjol masi ngelak uda fix sih pd dasarnya... iykyk'
3,'@Taedilanku Lu kira app cendol semacam situs pinjol 😭😭'
4,'@edimaha233 saia pernah ditawarin pinjol. ga mau. diuber alesane apa. saia ga jawab. dia nanya mulu. kesel² jawab aje saia ga mau minjem karna ribe. langsung mingkem tu orang'
5,'@tegisads Korban pinjol'
6,'@d_coffeeandme_ buat modal pinjol😋😅'
7,'Pinjol memang bagus
8,'Tipe-tipe foto KTP buat pinjol check😉 https://t.co/mbTeTTaKJ3'
9,'@AlfanMuzaki Bisa didapat 100rban nomor dan di compare sama aplikask WhatsApp
10,'@dheamel murah lek melok pinjol dhe sakjane 🙂🙂'
11,'@d_coffeeandme_ mau buat pinjol kali bang🤣'
12,'@asemkawakjawa @subtanyarl Pinjol teh naon anying?'
13,'@Indonesia_baik Pengancaman ke keluarga saya juga pak
14,'@_betterfox @FWBFESS_ pin siapa? pinjol/pina garut? wkwkwk\ncanda'
15,'@Indonesia_baik Tolong di lacak pak aplikasi Duitku sudah meresahkan masyarakat aplikasi pinjol ilegal banyak banget pak dengan mengancam akan menyebarkan data klo tidak bayar kata nya
16,'Daftar pinjol Terdaftar di OJK | pinjol legal 2020 -- https://t.co/xD07pjoxHf\n\n#pinjol #hutang #pinjamanonline #openbo #bo #infoterkini #ojk #deptcollerctor #pinjaman #uang'
17,'@GKwarrior_17 Coba tolong depkolektor pinjol minta bantuannya tlfnin semua kontak di hpnya biar semua teman dan relasi si mbak membantu mengingatkan mbak nya 🙏'
18,'@moccallatee owner pinjol y km'
19,'@gamemastteerr NIH SI 4 ADA MINJEM DI PINJOL APA GIMANA SIH? TELAT BAYAR JD DITELPONIN MULU'
20,'Ini nomer baru ya cu blm buat daptar apa-apa
21,'Jika mau ketemu saya langsung &amp; konsultasi dengan saya seputar masalah riba bank .  Leasing aset di lelang juga pinjol serta stress karena hutang Riba bisa kopdar pagi di ini di pengadilan negeri Denpasar .sambil… https://t.co/pDD4jXqm0A'
22,'@IndiHome MYIR-10041896720002\nTlong sbisa mngkin kami menghindari kirim data sensitif ke whatsapp pribadi
23,'Ada temen tanya rahasia biar awet muda apa sih coy? *gampang!! ojok utang pinjol
24,'@christofbali Wahh maksih bnyak tar aku cobain
25,'Hutang Pinjol harus Restrukturisasi - Tandatangani Petisi! https://t.co/Phhm4i5FIx via @ChangeOrg_ID'
26,'Joko Widodo: Hutang Pinjol harus Restrukturisasi - Tandatangani Petisi! https://t.co/fO2eordW2l via @ChangeOrg_ID'
27,'Hindari ini agar pengajuan Kartu kredit diterima -- https://t.co/6zSjcihW5p\n\n#pinjol #kartukredit #hutang #pinjamanonline #pinjaman #creditcard  #terlilithutang #cc #openbo'
28,'Nyesel
29,'@coffeephany @worksfess Iya ngerinya dibuat pinjol ya kak😵'
30,'@xzeddziyx @hrdbacot Pdhal dari pinjol nawarin pinjaman 🤣🤣'
31,'@diantiyang Karena nomormu disimpan sama yang minjem
32,'Pak @jokowi tolong pak
33,'twitter please do your magic
34,'@onneyyfa Pinjol'
35,'@4Y4NKZ Pantesan pinjol dan fintech legal rasa ilegal semakin merajalela
36,'Pertanyaannya biar apa ambil data bobotoh? Mau nyari yg kritik
37,'Masalahnya ga cuma dari 1 pinjol
38,'@GarudaCares Terima kasih min responnya cepat ya kalau di medsos gini. saya tentu mengajukannya via call center dan masa iya saya kudu nagih tiap bulan kayak rentenir pinjol aja. Terima kasih.'
39,'@Rp12Intan Kalo maharnya pake pinjol? 😁'
40,'@DukeCondet @Iwan_ke2 Ada temen gw yg skrg kudu ngilang dr peradaban gara2 utang ginian. Tunggakan cicilan mobil+pinjol. Untung nomer gw ga kena spam debt collectors'
41,'Dari data di jual sampe bank kebobolan dan pinjol pake data org lain\n\nKaya makin maju teknologi
42,'pengen lunasin utang pinjol sebelum gua mati'
43,'@unnesmenfess Akulaku e-commerce yang berbasis pinjol bukan? Bisa dicek garansi iphonenya
44,'@ojkindonesia akun saya di pakai orang tidak bertanggungjawab untuk pinjol mohon gimana cara mengatasinya. https://t.co/nFXx004GLo'
45,'Tips pengajuan Kartu Kredit di terima | BANK Indonesia -- https://t.co/V14tjNrsNA\n\n#kartukredit #hutang #cc #bo #openbo #uang #pinjol #pinjamanonline #tipshutang #bankindonesia'
46,'@kredivo Ah telat br sebulan aja udh kaya pinjol ilegal nagih nya
47,'@_abdurrh pinjol cantiq'
48,'@suhayidan Masukke pinjol wae ki'
49,'kesel gak dah di sms
50,'logikanya kalo dia ngga minjem ngga mungkin dong pinjol ini nanyain hal yg sama berulang ulang
51,'ada yg pernah tiba2 di sms/telpon/wa sama pinjol (pinjaman online) krna nomer dijadiin kontak darurat sama yg pinjem ga si?'
52,'@subtanyarl Gausah pinjol deh
53,'@subtanyarl Jangan pernah ngambil pinjol. Stress nanti kamu. Yang ditagih ntar bukan kamunya.'
54,'@subtanyarl tolong sebelum minjem pinjol tonton dulu yutub gritte agatha yg bahas ttg pinjol hehe'
55,'@_miftaxx pinjol apaan nder'
56,'@ladazaa Gerakan korban melawan pinjol'
57,'@GangLobak Awas yolanda ktp nya dicuri orang buat daftar pinjol lain'
58,'@yanktse @Asknonym Anw 5 menit lgsg kasih
59,'-ness ada yang pernah pinjem duit di akulaku
60,'Daftar pinjaman online dengan persyaratan tanpa jaminan | pinjol -- https://t.co/CN8QKDM7rb\n#ponjol #info #pinjamanonline #uang #hutang #openbo'
61,'Coba dong tukang tagih pinjol kalau kata karyawan pasang DP ID card karyawan plus foto pas nagih pake ngancem gitu sih!! #pinjamanonline #ceritapinjol #thread'
62,'@mahdinosaur kamu install aplikasi pinjol gak?'
63,'@KakekSemelekete ada hal yg menguntungkan kalo dia diciduk
64,'Jam 2 malam terbangun.. eh sempat2nya ada yg nawarin pinjol di jam 2 malam https://t.co/85e5aEXXMV'
65,'@diansilviahrp Wkwkwkkwkw nawari pinjol'
66,'Jangankan aib sebesar punya LN
67,'@annanurs Ini gmna si maksdnya na? Telat bayar di telp gitu? Kaya pinjol?'
68,'@fitsalma Telp dari agen pinjol
69,'@Asknonym 11 12 sama grub pinjol ya'
70,'@SoundOfYogi Jd kan apps nya nyedot phone book peminjam. Nah ketika si peminjam blm bs bayar setelah jatuh tempo
71,'@AndryWaseso Grup jebakan pinjol itu apa'
72,'Wa pernah tiba2 masuk grup jebakan pinjol. Temen gw dijelek2in. Orangnya ada d grup itu. Tp diem aja.'
73,'@SelasaPagi_ Sbnrnya mrk grup pinjol'
74,"'@rlthingy Nder sma banget coy:""(\n\nGue kalau kepepet banget ya pinjol. Dengan nominal terkecil biar pas gajian balikinnya gk susah'"
75,'@ainiparamartaa Iseng wae mba
76,'@worksfess wah veteran pinjol nih wkwk'
77,'@RianRD3 Duitnya lari ke pinjol
78,'@Sam_Ardi 🤣🤣🤣🤣🤣🤣\nDasar pinjol tak berAKHLAK....'
79,"'HARI ANTI NARKOBA INTERNASIONAL.\n\nselamat menjalani ""New normal""\nSTAY AWAY FROM DRUGS !\nSTAY AT HOME STAY SAFE.\n\n#finance #pinjol #saynotodrugs #drugs https://t.co/s6k0AXdJnV'"
80,'@alrosit Kalo udah pasti bulan depan kerja
81,'Cara transfer duit dari gopay ke rek bank kok ribet banget sih pake Selfi KTP segala udh kaya pinjol aja😓 males banget😓 @gojekindonesia'
82,'@TirtoID Lah gw di teror isat tiap hari di smsin. Kntl emang isat.\nKl yg di teror colector pinjol dpt duit jg ga?'
83,'dulu g lama follow ig bni sekuritas
84,'@jogmfs Ini biasanya temen dakjal yg pinjol tp bawa2 nmr temen buat kepentingan nagih cicilan'
85,'@randempipel Gausah ngeluh masih ada pinjol untuk bulan ini wkwk'
86,'@ardhiaphy Sek download pinjol'
87,'@intinilmiri Pinjol babad tan babad'
88,'Serem bgt kalo sociolla kebocoran data bisa2 data pemenang socobox dipake buat pinjol https://t.co/Wi79vG2tva'
89,'@sedb00i Ormas nya kita bayar dari pinjol yg ga terdaftar di ojk xixixi'
90,'@sedb00i P info\n\nPinjol ini udh terdaftar ojk? Mohon info sudah 2 bulan tidak saya bayar'
91,'@sedb00i Kita pinjol saja
92,'Ojek online Ojol\nPinjaman online Pinjol\nKontrakan online ....'
93,'@sedb00i Jauhi riba
94,'@sariputri2 @Telkomsel hee iya samaaa
95,'@discountfess LOH SEBENTAR SEBENTAR SEBENTAR. INI SOCO NGASIH CONTOH GAMBAR ORANG SELFIE SAMA KTP TANPA SENSOR?\n\nKalau KTP nya dibuat daftar pinjol gimana!? Gila nih Soco'
96,'@nugietriatmojo @cajapult Asa rek pinjol ajig 🤣'
97,'biyandry anjing macem macem pula kau pukimak. orang lg sensi ngadi2 aja di teror pake banyak nomor pinjol.\n\nBIYANDRY TEH SAHA ANYING TAH TOLONG TEROR GUYS SI BIYAN BIYAN ETA MERESAHKAN WAE PADAHAL TEUING SAHA. https://t.co/Za5wezTeoQ'
98,'@discountfess Wey
99,'@muattamu Gada kak.\nAdanya dri nomor biasa yg nawarin pinjol'
100,'@avochadoes Ngajuin pinjol.'
101,'@discountfess Gapapa Zheyenk
